Anio,Mes,CodigoPais,PaisDestino,LongitudPais,LatitudPais,CodigoDepto,DepartamentoOrigen,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2015,Agosto,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,4315.13,38.09,113349.73,4.32
2015,Agosto,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,203127.68,1616.31,5013172.23,203.13
2015,Agosto,245,España,-40000000000,400000000000,13,BOLÍVAR,-75.4964264795,10.3849883546,"0306171100 - LANGOSTINOS (GÉNEROS DE LA FAMILIA PENAEIDAE) ENTEROS CONGELADOS, SECOS, SALADOS, AHUMADOS O EN SALMUERA",Acuicultura,Pescado congelado,KG,109178,703.8,2076925.51,109.18
2015,Agosto,275,Francia,20000000000,-460000000000,13,BOLÍVAR,-75.4964264795,10.3849883546,"0306171100 - LANGOSTINOS (GÉNEROS DE LA FAMILIA PENAEIDAE) ENTEROS CONGELADOS, SECOS, SALADOS, AHUMADOS O EN SALMUERA",Acuicultura,Pescado congelado,KG,94008,602.39,1761255.31,94.01
2015,Julio,245,España,-40000000000,400000000000,13,BOLÍVAR,-75.4964264795,10.3849883546,"0306171100 - LANGOSTINOS (GÉNEROS DE LA FAMILIA PENAEIDAE) ENTEROS CONGELADOS, SECOS, SALADOS, AHUMADOS O EN SALMUERA",Acuicultura,Pescado congelado,KG,45511,273.34,751935.22,45.51
2015,Julio,275,Francia,20000000000,-460000000000,13,BOLÍVAR,-75.4964264795,10.3849883546,"0306171100 - LANGOSTINOS (GÉNEROS DE LA FAMILIA PENAEIDAE) ENTEROS CONGELADOS, SECOS, SALADOS, AHUMADOS O EN SALMUERA",Acuicultura,Pescado congelado,KG,141012,942.23,2503817.01,141.01
2015,Mayo,249,Estados Unidos,-985000000000,397600000000,25,CUNDINAMARCA,-74.6692192503,4.37531467846,0304590000 - Las demás carnes de pescado (incluso picada) frescas o refrigeradas,Acuicultura,Pescado fresco o refrigerado,KG,5613.6,52.28,124766.22,5.61
2015,Julio,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,1380,13.67,39045.36,1.38
2015,Julio,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,5274,35.41,101121.16,5.27
2015,Julio,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,8732.2,62.53,163777.5,8.73
2015,Julio,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,327964.88,2543.75,7118071.41,327.96
2015,Julio,249,Estados Unidos,-985000000000,397600000000,25,CUNDINAMARCA,-74.6692192503,4.37531467846,"0302890000 - LOS DEMÁS PESCADOS, FRESCOS O REFRIGERADOS, EXCEPTO LOS HIGADOS , HUEVAS Y LECHAS.",Acuicultura,Pescado fresco o refrigerado,KG,1115.2,6.77,18716.55,1.12
2015,Julio,249,Estados Unidos,-985000000000,397600000000,25,CUNDINAMARCA,-74.6692192503,4.37531467846,0304590000 - Las demás carnes de pescado (incluso picada) frescas o refrigeradas,Acuicultura,Pescado fresco o refrigerado,KG,4547.3,41.01,113383.34,4.55
2015,Julio,149,Canadá,-1136430000000,6010870000000,25,CUNDINAMARCA,-74.6692192503,4.37531467846,"0304420000 - FILETES DE TRUCHAS (SALMO TRUTTA, OCORHYNCHUS MYKISS, OCORHYNCHUS CLARKI, OCORHYNCHUS AGUABONITA, OCORHYNCHUS GILAE, OCORHYNCHUS APACHE Y OCORHYNCHUS CHRYSOGASTER) FRESCOS O REFRIGERADOS.",Acuicultura,Pescado fresco o refrigerado,KG,16193.41,163.21,439059.38,16.19
2015,Julio,249,Estados Unidos,-985000000000,397600000000,5,ANTIOQUIA,-75.5760017134,6.24858636743,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,3628,32.13,91741,3.63
2015,Julio,249,Estados Unidos,-985000000000,397600000000,5,ANTIOQUIA,-75.5760017134,6.24858636743,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,26594,210.52,601103.97,26.59
2015,Julio,580,Panamá,-800000000000,90000000000,5,ANTIOQUIA,-75.5760017134,6.24858636743,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,500,5.24,14958.8,0.5
2015,Julio,149,Canadá,-1136430000000,6010870000000,41,HUILA,-75.2777314808,2.93555887476,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,9097.99,88.87,237350.44,9.1
2015,Julio,249,Estados Unidos,-985000000000,397600000000,41,HUILA,-75.2777314808,2.93555887476,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,691380.47,5403.47,14595611.87,691.38
2015,Julio,245,España,-40000000000,400000000000,76,VALLE DEL CAUCA,-76.5215601611,3.4144187719,"0306171100 - LANGOSTINOS (GÉNEROS DE LA FAMILIA PENAEIDAE) ENTEROS CONGELADOS, SECOS, SALADOS, AHUMADOS O EN SALMUERA",Acuicultura,Pescado congelado,KG,89376,498.86,1345697.83,89.38
2015,Julio,249,Estados Unidos,-985000000000,397600000000,76,VALLE DEL CAUCA,-76.5215601611,3.4144187719,"0304820000 - FILETES CONGELADOS DE TRUCHAS (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE Y ONCORHYNCHUS CHRYSOGASTER).",Acuicultura,Pescado fresco o refrigerado,KG,15500,112.06,296184.43,15.5
2015,Julio,351,Hong Kong,1141570000000,2225060000000,76,VALLE DEL CAUCA,-76.5215601611,3.4144187719,"0305710000 - ALETAS DE TIBURON SECAS, SALADAS O EN SALMUERA, AHUMADAS.",Acuicultura,Pescado ahumado,KG,846.55,57.9,165263.35,0.85
2015,Julio,249,Estados Unidos,-985000000000,397600000000,66,RISARALDA,-75.7190152322,4.80532287092,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,21409.76,146.16,395396.91,21.41
2015,Julio,249,Estados Unidos,-985000000000,397600000000,66,RISARALDA,-75.7190152322,4.80532287092,"0304420000 - FILETES DE TRUCHAS (SALMO TRUTTA, OCORHYNCHUS MYKISS, OCORHYNCHUS CLARKI, OCORHYNCHUS AGUABONITA, OCORHYNCHUS GILAE, OCORHYNCHUS APACHE Y OCORHYNCHUS CHRYSOGASTER) FRESCOS O REFRIGERADOS.",Acuicultura,Pescado fresco o refrigerado,KG,2848.6,21.23,57226.49,2.85
