Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolúmenToneladas
2011,Agosto,628,Reino Unido,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,42400,46.42,82789.76,42.4
2011,Agosto,628,Reino Unido,25,Cundinamarca,1104230000 - Granos trabajados (por ejemplo: mondados- perlados- troceados o quebrantados)- de maíz.,Maiz,Maíz,KG,203.85,0.65,1148.74,0.2
2011,Agosto,647,República Dominicana,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,20000,28,49484.12,20
2011,Agosto,47,Antillas Holandesas,8,Atlántico,2309901000 - Preparaciones forrajeras con adición de melazas o de azúcar.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,300,0.1,179.38,0.3
2011,Agosto,47,Antillas Holandesas,8,Atlántico,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,360,0.48,855.04,0.36
2011,Agosto,47,Antillas Holandesas,8,Atlántico,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,400,0.2,352.77,0.4
2011,Agosto,196,Costa Rica,8,Atlántico,1102200000 - Harina de maíz.,Maiz,Harinas,KG,21000,14.7,26056.04,21
2011,Agosto,196,Costa Rica,8,Atlántico,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,24200,34.76,61794.67,24.2
2011,Agosto,580,Panamá,8,Atlántico,1102200000 - Harina de maíz.,Maiz,Harinas,KG,22240,15.9,28496.44,22.24
2011,Agosto,647,República Dominicana,8,Atlántico,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,21000,23.96,42570.55,21
2011,Agosto,647,República Dominicana,8,Atlántico,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,26000,14.2,25221.47,26
2011,Agosto,911,ZFP Barranquilla,8,Atlántico,1005901100 - Maíz duro amarillo.,Maiz,Maíz,KG,10000,3.73,6620.27,10
2011,Agosto,911,ZFP Barranquilla,8,Atlántico,1201009000 - Las demás habas (porotos- frijoles- frejoles) de soja (soya)- incluso quebrantadas.,Maiz,Soya,KG,1225,0.78,1387.07,1.23
2011,Agosto,911,ZFP Barranquilla,8,Atlántico,"2304000000 - Tortas y demás residuos sólidos de la extracción del aceite de soja (soya)- incluso molidos o en ""pellets"".",Maiz,Tortas y demás residuos sólidos de la extracción del aceite de soja (soya) incluso molidos o en,KG,2000,0.88,1554.15,2
2011,Agosto,911,ZFP Barranquilla,8,Atlántico,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,1094.4,0.44,787.48,1.09
