Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2018,Septiembre,249,Estados Unidos,11,Bogotá,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,1836,3.23,9918.63,1.84
2018,Septiembre,249,Estados Unidos,17,Caldas,2009894000 - Jugo de mango sin fermentar y sin adición de alcohol- incluso con adición de azúcar u otro edulcorante.,Mango,Jugo de mango,L,15840,16.98,51259.36,15.84
2018,Septiembre,275,Francia,17,Caldas,2009894000 - Jugo de mango sin fermentar y sin adición de alcohol- incluso con adición de azúcar u otro edulcorante.,Mango,Jugo de mango,L,47040,30.81,92828.91,47.04
2018,Septiembre,275,Francia,73,Tolima,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,1152,20.97,63045.13,1.15
2018,Septiembre,764,Suecia,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,48.6,0.93,2785.65,0.05
2018,Septiembre,27,Aruba,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,50,0.06,179.22,0.05
2018,Septiembre,249,Estados Unidos,11,Bogotá,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,8080,18.07,55166.33,8.08
2018,Agosto,23,Alemania,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,168,2.61,7727.01,0.17
2018,Agosto,23,Alemania,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,12,0,7.52,0.01
2018,Agosto,149,Canadá,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,5517.7,20.37,60463.5,5.52
2018,Agosto,149,Canadá,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,2970,18.21,54008.26,2.97
2018,Agosto,149,Canadá,73,Tolima,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,960,7.01,21351.69,0.96
2018,Agosto,245,España,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,932.5,5.15,14928.96,0.93
2018,Agosto,245,España,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,9,0.01,35.5,0.01
2018,Agosto,249,Estados Unidos,63,Quindío,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,140,1,2966,0.14
2018,Agosto,275,Francia,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,9091,33.06,97721.88,9.09
2018,Agosto,275,Francia,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,9216.29,60.23,181852.46,9.22
2018,Agosto,386,Italia,63,Quindío,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,576,3.61,10702.51,0.58
2018,Agosto,413,Kuwait,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,738,4.15,12092.38,0.74
2018,Agosto,455,Malasia,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,308,0.26,749.94,0.31
2018,Agosto,573,Países Bajos,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,7755.5,33.2,96526.03,7.76
2018,Agosto,573,Países Bajos,73,Tolima,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,408,3.06,9253.5,0.41
