Anio,Mes,CodigoPais,PaisDestino,LongitudPais,LatitudPais,CodigoDepto,DepartamentoOrigen,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2009,Abril,351,Hong Kong,1141570000000,2225060000000,76,VALLE DEL CAUCA,-76.5215601611,3.4144187719,"0207140000 - Trozos y despojos de gallo o gallina, congelados.",Avícola,Carne y despojos comestibles de gallos y gallinas,KG,26004,21.87,51258.22,26
2009,Abril,850,Venezuela,-660000000000,80000000000,76,VALLE DEL CAUCA,-76.5215601611,3.4144187719,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,320000,400,950538,9.5
2009,Abril,239,Ecuador,-782500000000,-12500000000,73,TOLIMA,-75.1953679078,4.43280938914,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,49000,90.39,218421.33,2.94
2009,Abril,850,Venezuela,-660000000000,80000000000,68,SANTANDER,-73.1325976221,7.11626842734,0407001000 - Huevos de ave para incubar.,Avícola,Huevos,U,252000,95.12,225337.5,14
2009,Abril,850,Venezuela,-660000000000,80000000000,68,SANTANDER,-73.1325976221,7.11626842734,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,1431000,927.72,2194126.73,62.64
2009,Abril,850,Venezuela,-660000000000,80000000000,68,SANTANDER,-73.1325976221,7.11626842734,0407001000 - Huevos de ave para incubar.,Avícola,Huevos,U,1587600,628.26,1488557.75,96.52
2009,Abril,351,Hong Kong,1141570000000,2225060000000,68,SANTANDER,-73.1325976221,7.11626842734,"0207140000 - Trozos y despojos de gallo o gallina, congelados.",Avícola,Carne y despojos comestibles de gallos y gallinas,KG,52000,40.82,96886.68,52
2009,Abril,855,Vietnam,1078330000000,1616670000000,68,SANTANDER,-73.1325976221,7.11626842734,"0207140000 - Trozos y despojos de gallo o gallina, congelados.",Avícola,Carne y despojos comestibles de gallos y gallinas,KG,26000,20.41,49155.85,26
2009,Abril,850,Venezuela,-660000000000,80000000000,68,SANTANDER,-73.1325976221,7.11626842734,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,120000,63.6,161225.36,5.74
2009,Abril,47,Antillas Holandesas,0,0,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0407009000 - Los demás huevos de ave con cáscara (cascarón), frescos, conservados o cocidos.",Avícola,Huevos,U,1,0.09,216.74,0
2009,Abril,850,Venezuela,-660000000000,80000000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,0407001000 - Huevos de ave para incubar.,Avícola,Huevos,U,90000,22.3,51060.98,5.4
2009,Abril,850,Venezuela,-660000000000,80000000000,25,CUNDINAMARCA,-74.6692192503,4.37531467846,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,305000,165.7,405771.82,14.38
2009,Abril,850,Venezuela,-660000000000,80000000000,25,CUNDINAMARCA,-74.6692192503,4.37531467846,0407001000 - Huevos de ave para incubar.,Avícola,Huevos,U,144000,34.56,79513.57,8.64
2009,Abril,855,Vietnam,1078330000000,1616670000000,66,RISARALDA,-75.7190152322,4.80532287092,"0207140000 - Trozos y despojos de gallo o gallina, congelados.",Avícola,Carne y despojos comestibles de gallos y gallinas,KG,52000,41.1,98818.69,52
2009,Marzo,351,Hong Kong,1141570000000,2225060000000,66,RISARALDA,-75.7190152322,4.80532287092,"0207140000 - Trozos y despojos de gallo o gallina, congelados.",Avícola,Carne y despojos comestibles de gallos y gallinas,KG,26000,18.38,43752.82,26
2009,Marzo,351,Hong Kong,1141570000000,2225060000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0207140000 - Trozos y despojos de gallo o gallina, congelados.",Avícola,Carne y despojos comestibles de gallos y gallinas,KG,26000,19.63,49207.11,26
2009,Marzo,850,Venezuela,-660000000000,80000000000,68,SANTANDER,-73.1325976221,7.11626842734,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,1306700,857.71,2101178.21,57.02
2009,Marzo,850,Venezuela,-660000000000,80000000000,68,SANTANDER,-73.1325976221,7.11626842734,0407001000 - Huevos de ave para incubar.,Avícola,Huevos,U,1677600,669.33,1636877.65,102
2009,Marzo,351,Hong Kong,1141570000000,2225060000000,68,SANTANDER,-73.1325976221,7.11626842734,"0207140000 - Trozos y despojos de gallo o gallina, congelados.",Avícola,Carne y despojos comestibles de gallos y gallinas,KG,26000,19.63,49207.11,26
2009,Marzo,850,Venezuela,-660000000000,80000000000,68,SANTANDER,-73.1325976221,7.11626842734,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,240000,127.2,301729.21,10.77
2009,Marzo,850,Venezuela,-660000000000,80000000000,73,TOLIMA,-75.1953679078,4.43280938914,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,180000,95.4,237873.22,8.26
2009,Marzo,239,Ecuador,-782500000000,-12500000000,73,TOLIMA,-75.1953679078,4.43280938914,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,16100,48.54,125669.83,0.64
2009,Marzo,351,Hong Kong,1141570000000,2225060000000,76,VALLE DEL CAUCA,-76.5215601611,3.4144187719,"0207140000 - Trozos y despojos de gallo o gallina, congelados.",Avícola,Carne y despojos comestibles de gallos y gallinas,KG,26004,19.37,50194.86,26
2009,Marzo,850,Venezuela,-660000000000,80000000000,76,VALLE DEL CAUCA,-76.5215601611,3.4144187719,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,470000,587.5,1445930.88,11.8
2009,Febrero,850,Venezuela,-660000000000,80000000000,76,VALLE DEL CAUCA,-76.5215601611,3.4144187719,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,225060,278.75,688565.97,4.6
